"STATION","NAME","DATE","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00190120","AMHERST, MA US","2000-09-24",,"0.05","0.0","0.0","66","50","66"
"USC00190120","AMHERST, MA US","2000-09-25",,"0.02","0.0","0.0","74","41","42"
"USC00190120","AMHERST, MA US","2000-09-26",,"0.02","0.0","0.0","62","41","48"
"USC00190120","AMHERST, MA US","2000-09-27",,"0.33","0.0","0.0","51","38","39"
"USC00190120","AMHERST, MA US","2000-09-28",,"0.00","0.0","0.0","69","38","46"
"USC00190120","AMHERST, MA US","2000-09-29",,"0.00","0.0","0.0","57","30","32"
"USC00190120","AMHERST, MA US","2000-09-30",,"0.00","0.0","0.0","57","31","32"
"USC00190120","AMHERST, MA US","2000-10-01",,"0.00","0.0","0.0","66","37","48"
"USC00190120","AMHERST, MA US","2000-10-02",,"0.00","0.0","0.0","70","47","50"
"USC00190120","AMHERST, MA US","2000-10-03",,"0.00","0.0","0.0","67","47","48"
"USC00190120","AMHERST, MA US","2000-10-04",,"0.00","0.0","0.0","78","42","46"
"USC00190120","AMHERST, MA US","2000-10-05",,"0.06","0.0","0.0","68","45","47"
"USC00190120","AMHERST, MA US","2000-10-06",,"1.00","0.0","0.0","55","47","52"
"USC00190120","AMHERST, MA US","2000-10-07",,"0.12","0.0","0.0","55","37","38"
"USC00190120","AMHERST, MA US","2000-10-08",,"0.00","0.0","0.0","62","31","32"
"USC00190120","AMHERST, MA US","2000-10-09",,"0.00","0.0","0.0","53","29","31"
"USC00190120","AMHERST, MA US","2000-10-10",,"0.00","0.0","0.0","50","28","33"
"USC00190120","AMHERST, MA US","2000-10-11",,"0.00","0.0","0.0","48","30","43"
"USC00190120","AMHERST, MA US","2000-10-12",,"0.00","0.0","0.0","65","30","31"
"USC00190120","AMHERST, MA US","2000-10-13",,"0.00","0.0","0.0","69","30","35"
"USC00190120","AMHERST, MA US","2000-10-14",,"0.00","0.0","0.0","75","34","45"
"USC00190120","AMHERST, MA US","2000-10-15",,"0.00","0.0","0.0","81","44","47"
"USC00190120","AMHERST, MA US","2000-10-16",,"0.00","0.0","0.0","76","45","51"
"USC00190120","AMHERST, MA US","2000-10-17",,"0.25","0.0","0.0","52","42","44"
"USC00190120","AMHERST, MA US","2000-10-18",,"0.03","0.0","0.0","53","43","48"
"USC00190120","AMHERST, MA US","2000-10-19",,"0.70","0.0","0.0","50","40","44"
"USC00190120","AMHERST, MA US","2000-10-20",,"0.00","0.0","0.0","61","30","32"
"USC00190120","AMHERST, MA US","2000-10-21",,"0.00","0.0","0.0","66","31","35"
"USC00190120","AMHERST, MA US","2000-10-22",,"0.00","0.0","0.0","75","35","43"
"USC00190120","AMHERST, MA US","2000-10-23",,"0.00","0.0","0.0","59","28","29"
"USC00190120","AMHERST, MA US","2000-10-24",,"0.00","0.0","0.0","58","27","37"
"USC00190120","AMHERST, MA US","2000-10-25",,"0.00","0.0","0.0","68","46","37"
"USC00190120","AMHERST, MA US","2000-10-26",,"0.00","0.0","0.0","72","37","40"
"USC00190120","AMHERST, MA US","2000-10-27",,"0.00","0.0","0.0","74","40","44"
"USC00190120","AMHERST, MA US","2000-10-28",,"0.00","0.0","0.0","64","43","54"
"USC00190120","AMHERST, MA US","2000-10-29",,"0.00","0.0","0.0","53","33","35"
"USC00190120","AMHERST, MA US","2000-10-30",,"0.02","0.5","0.0","38","29","37"
"USC00190120","AMHERST, MA US","2000-10-31",,"0.11","0.0","0.0","44","36","44"
